,year-month,borough,average
296,2021-07,EWR,8
297,2021-07,Manhattan,81893
298,2021-07,Queens,6801
299,2021-07,Staten Island,8
300,2021-07,Unknown,1002
301,2021-08,Bronx,292
302,2021-08,Brooklyn,995
303,2021-08,EWR,9
304,2021-08,Manhattan,80259
305,2021-08,Queens,7326
306,2021-08,Staten Island,10
307,2021-08,Unknown,1051
308,2021-09,Bronx,268
309,2021-09,Brooklyn,1018
310,2021-09,EWR,10
311,2021-09,Manhattan,88908
312,2021-09,Queens,7384
313,2021-09,Staten Island,12
314,2021-09,Unknown,1190
315,2021-10,Bronx,218
316,2021-10,Brooklyn,933
317,2021-10,EWR,13
318,2021-10,Manhattan,101506
319,2021-10,Queens,7794
320,2021-10,Staten Island,10
321,2021-10,Unknown,1248
322,2021-11,Bronx,212
323,2021-11,Brooklyn,875
324,2021-11,EWR,18
325,2021-11,Manhattan,104575
326,2021-11,Queens,8825
327,2021-11,Staten Island,10
328,2021-11,Unknown,1246
329,2021-12,Bronx,173
330,2021-12,Brooklyn,727
331,2021-12,EWR,21
332,2021-12,Manhattan,93199
333,2021-12,Queens,8372
334,2021-12,Staten Island,7
335,2021-12,Unknown,1186
